Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEM 01 DE PLANALTINA,53006062,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"AREA SETOR EDUCACIONAL LOTE A/B, SN SETOR DE EDUCACAO PLANALTINA. 73310-152 Brasília - DF.",(61) 39014476,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Médio, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-15.6197308,-47.6517688
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEM 02 DE PLANALTINA,53006070,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"SETOR EDUCACIONAL LOTES J/L, SETOR DE EDUCACAO PLANALTINA. 73310-150 Brasília - DF.",(61) 39014545,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Médio, Educação de Jovens Adultos",Atendimento Educacional Especializado,-15.6217302,-47.6536294
ESCOLA EXCLUSIVA DE ATIVIDADE COMPLEMENTAR,CEE 01 DE PLANALTINA,53006097,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"SETOR ADMINISTRATIVO LOTE, I SETOR EDUCACIONAL. SETOR ADMINISTRATIVO PLANALTINA. 73310-100 Brasília - DF.",(61) 39014475,Estadual,Não Informado,Não,Sim,Escola sem matrícula de escolarização,,Atividade Complementar,-15.6197503,-47.6538433
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,INST MONTE HOREBE PLANALTINA,53006151,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA QUADRA 1, 0 PROJECAO D. SETOR COMERCIAL CENTRAL PLANALTINA. 73310-300 Brasília - DF.",(61) 39682658,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Profissional, Educação de Jovens Adultos",,-15.6147083,-47.6548403
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEF 04 DE PLANALTINA - CCMDF,53006160,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"SETOR EDUCACIONAL, LT C/D SETOR DE EDUCACAO PLANALTINA. 73310-150 Brasília - DF.",(61) 39014543,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",Atendimento Educacional Especializado,-15.6221644,-47.6518191
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,IFB - CAMPUS PLANALTINA,53006178,DF,Brasília,Rural,A escola não está em área de localização diferenciada,Pública,"GRANDE USUARIO RODOVIA DF-128 KM 21, SN AREA RURAL. SETOR RESIDENCIAL MESTRE DARMAS PLANALTINA. 73380-900 Brasília - DF.",(61) 21962625,Federal,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",,-15.65656655,-47.694643
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 01 DE PLANALTINA,53006186,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA INDEPENDENCIA QUADRA 01, 102 VILA VICENTINA. PLANALTINA. 73320-000 Brasília - DF.",(61) 39014445,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,-15.6259391,-47.6549726
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 03 DE PLANALTINA,53006194,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA EQ 1/2, SN PROJECAO G. SETOR RESIDENCIAL LESTE PLANALTINA. 73350-150 Brasília - DF.",(61) 39014433,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.6150309,-47.6462072
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 04 DE PLANALTINA,53006208,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA EQ 3/4, 00 PROJECAO G. SETOR RESIDENCIAL LESTE PLANALTINA. 73350-350 Brasília - DF.",(61) 39014439,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,-15.621035,-47.646526
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 05 DE PLANALTINA,53006216,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA DO CONTORNO, S/N QUADRA 17. VILA VICENTINA PLANALTINA. 73320-020 Brasília - DF.",(61) 31057839,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.63146653,-47.65437177
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 06 DE PLANALTINA,53006224,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"ENTREQUADRA 05/06 EP 02 PROJECAO G, SETOR RESIDENCIAL LESTE PLANALTINA. 73360-500 Brasília - DF.",(61) 31057840,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.6274384,-47.6468212
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 07 DE PLANALTINA,53006232,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA 45, 39014451 AREA ESPECIAL. NOSSA SENHORA DE FATIMA PLANALTINA. 73365-049 Brasília - DF.",(61) 39014451,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",Atividade Complementar,-15.641802,-47.6636745
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEF 08 DE PLANALTINA,53006240,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA EQ 3/4, SEM NUMERO PROJECAO H. SETOR RESIDENCIAL LESTE PLANALTINA. 73350-350 Brasília - DF.",(61) 31057818,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,,-15.62129534,-47.64563383
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 09 DE PLANALTINA,53006259,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"VIA WL1 AREA ESPECIAL 1 CONJUNTO C, 01 SETOR RESIDENCIAL NORTE PLANALTINA. 73350-163 Brasília - DF.",(61) 39014357,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.6105075,-47.6450261
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 10 DE PLANALTINA,53006267,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA 1, S/N AREA ESPECIAL. JARDIM RORIZ PLANALTINA. 73340-100 Brasília - DF.",(61) 39014446,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-15.60271922,-47.65353712
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI 02 DE PLANALTINA,53006275,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA QUADRA 5 - AE 01, 01 JARDIM RORIZ PLANALTINA. 73340-500 Brasília - DF.",(61) 31057827,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,Atendimento Educacional Especializado,-15.6035995,-47.646177
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CED 03 DE PLANALTINA,53006283,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"EQ 2/3, 01 AREA ESPECIAL. SRN/A. 73340-340 Brasília - DF.",(61) 39014450,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",Atendimento Educacional Especializado,-15.6032036,-47.6500175
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 13 DE PLANALTINA,53006291,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA 7, AE 01. JARDIM RORIZ PLANALTINA. 73340-700 Brasília - DF.",(61) 39014455,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-15.6036889,-47.6422817
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 14 DE PLANALTINA,53006305,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA 13 CONJUNTO A, LOTE 01 BURITIS III. SETOR RESIDENCIAL LESTE PLANALTINA. 73355-300 Brasília - DF.",(61) 31057845,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental","Atendimento Educacional Especializado, Atividade Complementar",-15.613655,-47.63229
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC ALTA-MIR,53006313,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA RESIDENCIAL BICA DO DER 4, DF 128 KM 8.5. RESIDENCIAL BICA DO DER GLEBA B - PLANALTINA. 73391-202 Brasília - DF.",(61) 984258869,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.6331879,-47.6811619
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC APRODARMAS,53006321,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"FAZENDA MESTRE DARMAS DF 130, 67 CHACARA 67. QUINTAS DO AMANHECER II PLANALTINA. 73375-703 Brasília - DF.",(61) 31057849,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",Atividade Complementar,-15.6642033,-47.657439
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC BARRA ALTA,53006348,DF,Brasília,Rural,A escola não está em área de localização diferenciada,Pública,"NUCLEO RURAL TABATINGA DF 260, 210 CHACARA 210 BARRA AL. PLANALTINA. 73390-100 Brasília - DF.",(61) 984343573,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.84806,-47.45694
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC BROCHADO DA ROCHA,53006356,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"CAIXA POSTAL COMUNITARIA BR-020 KM 17 - ENTRE PLANALTINA E SOBRADINHO - ENTRADA PROXIMO A EMBRAPA, BR 020 KM 17 DVO. PLANALTINA. 73307-993 Brasília - DF.",(61) 981471797,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.6213068,-47.7125972
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEF CERAMICAS REUNIDAS DOM BOSCO,53006364,DF,Brasília,Rural,A escola não está em área de localização diferenciada,Pública,"CAIXA POSTAL COMUNITARIA RODOVIA DF-205 KM 03 ACESSO P/ROD.DF-345 BSB S JOAO DALIANCA, 73307-992 Brasília - DF.",(61) 35062040,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.5731203,-47.3858488
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC COPERBRAS,53006372,DF,Brasília,Rural,A escola não está em área de localização diferenciada,Pública,"NUCLEO RURAL TABATINGA, 172 PLANALTINA. 73390-100 Brasília - DF.",(61) 996449681,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.761099,-47.5458286
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC CORREGO DO MEIO,53006380,DF,Brasília,Rural,A escola não está em área de localização diferenciada,Pública,"BR- 020 KM -18 -DF444, CORREGO DO MEIO. AREA RURAL. 73310-150 Brasília - DF.",(61) 35063049,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",Atividade Complementar,-15.6955547,-47.7074632
ESCOLA PARALISADA,EC CURRAL QUEIMADO,53006399,DF,Brasília,Rural,Não Informado,Pública,"DF 250 KM 50, VIA LAGO NORTE. 73310-100 Brasília - DF.",,Estadual,Não Informado,Não,,,,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC ESTANCIA DO PIPIRIPAU,53006402,DF,Brasília,Rural,A escola não está em área de localização diferenciada,Pública,"RODOVIA DF-345, PLANALTINA. 73377-003 Brasília - DF.",(61) 984277649,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.609692,-47.563806
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC ESTANCIA DE PLANALTINA,53006410,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"MODULO C, 64 A 67/75 MODULO C. ESTANCIA PLANALTINA. 73401-309 Brasília - DF.",(61) 39016621,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",Atividade Complementar,-15.6058471,-47.6700486
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC ETA 44,53006429,DF,Brasília,Rural,A escola não está em área de localização diferenciada,Pública,"RODOVIA BR-020 KM 18 ENTRADA DA EMBRAPA CPAC PLANALTINA, 996759795 NUCLEO RURAL SARANDY. PLANALTINA. 73380-990 Brasília - DF.",(61) 996759795,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.5928328,-47.7297677
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC FRIGORIFICO INDUSTRIAL,53006437,DF,Brasília,Rural,A escola não está em área de localização diferenciada,Pública,"RODOVIA DF-230, KM 11 - FAZ. PIPIRIP. PLANALTINA. 73377-010 Brasília - DF.",(61) 39017664,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",Atividade Complementar,-15.6550166,-47.6253742
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC MONJOLO,53006461,DF,Brasília,Rural,A escola não está em área de localização diferenciada,Pública,"SETOR EDUCACIONAL, ROD. BR 020 DF 135. SETOR DE EDUCACAO PLANALTINA. 73310-150 Brasília - DF.",(61) 35061001,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,Atividade Complementar,-15.5378285,-47.6862185
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC NUCLEO RURAL CORREGO DO ATOLEIRO,53006488,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"RODOVIA DF-345 KM 18, N.R CORREGO ATOLEIRO. PLANALTINA-DF. 73377-003 Brasília - DF.",(61) 994643300,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",Atividade Complementar,-15.6241717,-47.6147602
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CED OSORIO BACCHIN,53006496,DF,Brasília,Rural,A escola não está em área de localização diferenciada,Pública,"NUCLEO RURAL JARDIM MORUMBI, LOTE 22 GLEBA G. SETOR RESIDENCIAL MESTRE DARMAS PLANALTINA. 73380-160 Brasília - DF.",(61) 998803014,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-15.5268781,-47.6303952
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI PALMEIRAS,53006500,DF,Brasília,Rural,A escola não está em área de localização diferenciada,Pública,"BR 020, DF 205, KM 39 - FAZENDA PALMEIRAS, COMUNIDADE PALMEIRAS. 73151-010 Brasília - DF.",(61) 984553383,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-15.52846776,-47.74101006
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC PARANA,53006518,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"EQ 1/2, LOTE H. SETOR RESIDENCIAL LESTE PLANALTINA. 73350-115 Brasília - DF.",(61) 39017760,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.6151548,-47.6454829
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC PEDRA FUNDAMENTAL,53006526,DF,Brasília,Rural,A escola não está em área de localização diferenciada,Pública,"CAIXA POSTAL COMUNITARIA RODOVIA DF-128 KM 13 - LARGO DA PEDRA FUNDAMENTAL, 15 CHACARA. LARGA DA PEDRA FUNDAMENTAL. 73376-990 Brasília - DF.",(61) 999360182,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.6737233,-47.6725911
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC RAJADINHA,53006534,DF,Brasília,Rural,A escola não está em área de localização diferenciada,Pública,"RODOVIA DF-130 DF006, S/N NR RAJADINHA. PLANALTINA. 73365-429 Brasília - DF.",(61) 991889013,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.6412941,-47.6387692
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC SANTOS DUMONT,53006550,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"RODOVIA DF-130 SANTOS DUMONT, KM 28 NUCLEO RURAL. PLANALTINA. 73365-429 Brasília - DF.",(61) 39014460,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.6789656,-47.648395
ESCOLA PARALISADA,EC SAO GONCALO,53006569,DF,Brasília,Rural,Não Informado,Pública,"DF 250, 73310-100 Brasília - DF.",(61) 35002101,Estadual,Não Informado,Não,,,,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COL ADVENTISTA DE PLANALTINA,53006585,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"AREA SETOR EDUCACIONAL LOTE P, P PLANALTINA. SETOR DE EDUCACAO PLANALTINA. 73310-180 Brasília - DF.",(61) 34415000,Privada,Particular,Não,Sim,Mais de 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-15.62003,-47.65053
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JI CASA DE VIVENCIA,53006682,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA QUADRA 1, AV.NS 01 A.ESP. 9. SETOR RESIDENCIAL LESTE PLANALTINA. 73350-100 Brasília - DF.",(61) 39014462,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-15.6124271,-47.6506127
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CAIC SANTA PAULINA,53006712,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA 5 AREA ESPECIAL, SEM NUMERO PARANOA. 71570-513 Brasília - DF.",(61) 39017568,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.77829184,-47.78439516
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CED DO PAD-DF,53006720,DF,Brasília,Rural,A escola não está em área de localização diferenciada,Pública,"RODOVIA DF-251 KM 07, BR 251. PARANOA RURAL. 71586-000 Brasília - DF.",(61) 33308640,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",,-16.0097728,-47.5571896
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEM 01 DO PARANOA,53006739,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA QUADRA 4 CONJUNTO A, LOTE 05 A/E. PARANOA. 71570-401 Brasília - DF.",(61) 30494579,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,Ensino Médio,,-15.7828956,-47.7797081
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 01 DO PARANOA,53006747,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA 26 AREA ESPECIAL S/N, 01 CONJ. G. PARANOA. 71572-608 Brasília - DF.",(61) 33308611,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,-15.764702,-47.778513
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 02 DO PARANOA,53006755,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA 30 CONJUNTO E, 17 LOTE 17. PARANOA. 71573-025 Brasília - DF.",(61) 39017563,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental","Atendimento Educacional Especializado, Atividade Complementar",-15.7637886,-47.7781873
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 03 DO PARANOA,53006763,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA 17 CONJUNTO C, 08 LOTE 08. PARANOA. 71571-703 Brasília - DF.",(61) 33308613,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.7731233,-47.7808808
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 04 DO PARANOA,53006771,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA QUADRA 14, 01 CONJUNTO F. PARANOA. 71571-400 Brasília - DF.",(61) 39017556,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.7731182,-47.7762534
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 05 DO PARANOA,53006780,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA QUADRA 24, CONJ I AREA ESPECIAL. PARANOA. 71572-400 Brasília - DF.",(61) 33308615,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,-15.7666749,-47.7764818
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC ALTO INTERLAGOS,53006798,DF,Brasília,Rural,A escola não está em área de localização diferenciada,Pública,"CHACARA INTERLAGOS Nº 10-A, 10-A ALTIPLANO LESTE. LAGO SUL. 71681-991 Brasília - DF.",(61) 33308616,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",Atividade Complementar,-15.8266737,-47.7439689
